
STT	Nội dung 1: Khái quát về chủ nghĩa Mác - Lênin	Trả lời đúng
A	Là thắng lợi đầu tiên của Chủ nghĩa Mác – Lênin từ lý luận đến thực tiễn	
B	Là thắng lợi đầu tiên của chủ nghĩa Mác – Lênin ở một nước thuộc địa nửa phong kiến, cổ vũ phong trào đấu tranh giải phóng dân tộc trên thế giới.	1
C	Là thắng lợi quyết định đập tan chủ nghĩa phát xít ở phương Đông	
D	Là thắng lợi tiên quyết tạo tiền đề cho việc kết thúc chiến tranh thế giới thứ hai	
		
		
86	Thắng lợi của quân dân ta trong cuộc kháng chiến chống thực dân Pháp và can thiệp Mỹ có ý nghĩa gì?	
A	Buộc thực dân Pháp phải công nhận độc lập, chủ quyền, thống nhất và toàn vẹn lãnh thổ của các nước Đông Dương. Giải phóng hoàn toàn miền Bắc, tạo điều kiện để miền bắc tiến lên CNXH. Bảo vệ những thành quả của cách mạng tháng tám năm 1945.	1
B	Giải phóng hoàn toàn miền Bắc, tạo điều kiện để miền bắc tiến lên CNXH	
C	Bảo vệ những thành quả của cách mạng tháng tám năm 1945	
D	Mở ra sự sụp đổ của chủ nghĩa thực dân cũ trên toàn thế giới	
		
		
87	Với thắng lợi của cuộc kháng chiến chống đế quốc Mỹ, nhân dân ta đã hoàn thành cuộc cách mạng nào trên cả nước?	
A	Cách mạng dân tộc dân chủ nhân dân	1
B	Cách mạng tư sản	
C	Cách mạng XHCN	
D	Cách mạng tư tưởng	
		
		
IV	Nội dung 4: Đặc trưng và phương hướng xây dựng chủ nghĩa xã hội ở Việt Nam	
88	Sự phát triển của xã hội loài người đã trải qua những hình thái kinh tế - xã hội nào?	
A	Phong kiến, Tư bản chủ nghĩa và Chủ nghĩa xã hội	
B	Nguyên thủy, Phong kiến, Tư bản chủ nghĩa, Chủ nghĩa xã hội	
C	Cộng sản nguyên thủy, Chiếm hữu nô lệ, Phong kiến, Tư bản chủ nghĩa và Chủ nghĩa xã hội.	1
D	Chiếm hữu nô lệ, Phong kiến, Tư bản chủ nghĩa và Chủ nghĩa xã hội	
		
		
89	Cuộc cách mạng xã hội nước nào được coi là mở đầu thời đại quá độ từ chủ nghĩa tư bản lên CNXH?	
A	Cách mạng xã hội ở Trung Quốc	
B	Cách mạng xã hội ở Nga năm 1917	1
C	Cách mạng xã hội ở Pháp	
D	Cách mạng tháng 08 năm 1945 ở Việt Nam	
		
		
90	Đặc trưng của xã hội XHCN mà nhân dân ta xây dựng được thể hiện trong Cương lĩnh xây dựng đất nước thời kỳ quá độ lên CNXH bổ sung và phát triển năm 2011 gồm những đặc trưng nào?	
A	5 đặc trưng	
B	6 đặc trưng	
C	7 đặc trưng	
D	8 đặc trưng	1
		
		
91	Đặc điểm lớn nhất của thời kỳ quá độ lên chủ nghĩa xã hội ở nước ta là gì?	
A	Nhiều thành phần xã hội đan xn cùng tồn tại	
B	Lực lượng sản xuất chưa phát triển	
C	Năng suất lao động thấp	
D	Từ một nền sản xuất nhỏ là phổ biến quá độ lên chủ nghĩa xã hội không qua chế độ tư bản chủ nghĩa	1
		
		
92	Trong thời kỳ quá độ lên chủ nghĩa xã hội ở nước ta, chế độ sở hữu về tư liệu sản xuất bao gồm các hình thức sở hữu:	
A	Nhà nước, tập thể, tư nhân	1
B	Cá thể, tiểu chủ, tư bản tư nhân	
C	Nhà nước, tư nhân	
D	Tư bản nhà nước, tư bản tư nhân	
		
		
93	C¬ương lĩnh xây dựng đất nước trong thời kỳ quá độ lên chủ nghĩa xã hội được Đảng ta nêu ra ở Đại hội nào ?	
A	Đại hội IV	
B	Đại hội VI	
C	Đại hội VII		1
D	Đại hội VIII	
		
		
94	Hãy điền vào chỗ trống để biết Văn kiện Đại hội Đảng toàn quốc lần thứ XI (2011) xác định đặc trưng đầu tiên trong mô hình CNXH ở nước ta là gì: “Dân giàu, nước mạnh, … công bằng, văn minh”?	
A	tiến bộ	
B	dân chủ	1
C	bình đẳng	
D	phát triển	
		
		
95	Điều kiện khách quan của cách mạng xã hội chủ nghĩa là?	
A	Nền sản xuất đại công nghiệp xã hội hoá TBCN	1
B	Giai cấp công nhân đấu tranh chống nhà tư bản	
C	Sự ra đời của Đảng	
D	Sự bóc lột của giai cấp tư sản	
		
		
96	Sự xuất hiện của chủ nghĩa Mác – Lênin là một tất yếu lịch sử vì:	
A	Nó khác về chất so với hệ thống triết học trước đó	
B	Nó trở thành thế giới quan khoa học của giai cấp vô sản	
C	Nó trở thành thế giới quan và phương pháp luận chung cần thiết cho sự phát triển của các khoa học	
D	Nó không những là sự phản ánh thực tiễn xã hội, nhất là thực tiễn cách mạnh của giai cấp công nhân, mà còn là sự phát triển hợp lôgíc của lịch sử tư tưởng nhân loại	1
		
		
97	Tại sao cho rằng con đường cách mạng Việt Nam là quá độ lên chủ nghĩa xã hội bỏ qua chế độ tư bản chủ nghĩa là tất yếu khách quan?	
A	Đảng Cộng Sản Việt Nam đã có đường lối đúng đắn	
B	Do sự phát triển của lực lượng sản xuất	
C	Vì nó phù hợp với đặc điểm của đất nước và xu thế phát triển của thời đại	1
D	Vì nó đáp ứng được nguyện vọng và mong muốn của nhân dân ta	
		
		
98	Những thành tựu của công cuộc đổi mới ở Việt Nam khẳng định:	
A	Đường lối đổi mới của Đảng là đúng đắn	1
B	Vị thế của Việt Nam được nâng cao	
C	Đời sống nhân dân được cải thiện	
D	Kinh tế tăng trưởng nhanh	
		
		
99	So sánh nền dân chủ trước đây với nền dân chủ XHCN thể hiện như thế nào?	
A	Không còn mang tính giai cấp	
B	Là nền dân chủ phi lịch sử	
C	Là nền dân chủ thuần tuý	
D	Là nền dân chủ rộng rãi cho giai cấp công nhân và nhân dân lao động	1
		
		
100	Thời kỳ quá lên chủ nghĩa xã hội CNXH trên phạm vi cả nước ở nước ta bắt đầu từ thời gian nào?	
A	Năm 1930	
B	Năm 1945	
C	Năm 1954	
D	Năm 1975	1
		
		
101	Cương lĩnh xây dựng đất nước trong thời kỳ quá độ lên chủ nghĩa xã hội (bổ sung, phát triển năm 2011) do đại hội Đảng lần thứ XI thông qua năm 2011 đã nêu năm bài học lớn của cách mạng Việt Nam. Trong đó bài học đầu tiên là gì?	
A	Nắm vững ngọn cờ độc lập dân tộc và chủ nghĩa xã hội	1
B	Sự nghiệp cách mạng là của nhân dân, do nhân dân và vì nhân dân	
C	Chủ động và tích cực hội nhập kinh tế quốc tế	
D	Sự lãnh đạo đúng đắn của Đảng là nhân tố hàng đầu đảm bảo thắng lợi của cách mạng Việt Nam	
		
		
102	Cách mạng XHCN nổ ra là do:	
A	Sự tập trung tư liệu sản xuất, xã hội hoá lao động của nền sản xuất TBCN	1
B	Tình thế cách mạng	
C	Thời cơ cách mạng	
D	Phương pháp cách mạng đúng	
		
		
103	Mô hình kinh tế khái quát trong thời kỳ quá độ ở nước ta là:	
A	Kinh tế thị trường có sự quản lý của Nhà nước	
B	Kinh tế nhiều thành phần tho định hướng XHCN	1
C	Kinh tế thị trường tho định hướng XHCN	
D	Kinh tế nhiều thành phần có sự quản lý của Nhà nước	
		
		
104	Xét ở góc độ chính trị - xã hội, đặc điểm của thời kỳ quá độ lên CNXH là gì?	
A	Không còn giai cấp, đấu tranh giai cấp	
B	Không còn nhiều hình thức sở hữu, không còn nhiều thành phần kinh tế	
C	Sự đan xn, đấu tranh giữa nhân tố mới và tàn tích của xã hội cũ trên tất cả các lĩnh vực.	1
D	Không còn nhà nước, không còn giai cấp	
		
		
105	Trong quá trình đổi mới và thực thi dân chủ ở nước ta hiện nay, nhiệm vụ nào được xm là khó khăn, phức tạp, nhạy cảm nhất hiện nay?	
A	Xoá đói giảm nghèo	
B	Cải cách giáo dục	
C	Chống tham nhũng	1
D	Trật tự an toàn giao thông	
		
		
106	Khi nói “Quá độ lên chủ nghĩa xã hội bỏ qua chế độ tư bản chủ nghĩa” thì bỏ qua yếu tố nào?	
A	Bỏ qua các yếu tố kinh tế gắn với CNTB	
B	Bỏ qua việc xác lập vị trí thống trị của quan hệ sản xuất và kiến thức thượng tầng TBCN	1
C	Bỏ qua các yếu tố chính trị và văn hóa gắn với sự tồn tại và phát triển của CNTB	
D	Bỏ qua yếu tố của lực lượng sản xuất	
		
		
107	Ở nước ta hiện nay hình thức phân phối nào đóng vai trò chủ yếu nhất	
A	Phân phối tho lao động	1
B	Phân phối tho đóng góp và các nguồn lực khác vào sản xuất kinh doanh	
C	Phân phối thông qua phúc lợi xã hội	
D	Không có hình thức phân phối nào chiếm ưu thế	
		
		
108	Trước khi tiến hành công cuộc đổi mới nền kinh tế từ Đại hội Đảng lần thứ 6 (1986), Nhà nước ta sử dụng phương pháp gì để hàng hóa đến tay người dân?	
A	Chế độ tm phiếu	1
B	Chế độ hiện vật	
C	Cho phép tự do buôn bán	
D	Định giá hàng hóa cao hơn giá trị thực tế	
		
		
V	Nội dung 5: Phát triển kinh tế, xã hội, văn hóa, con người Việt Nam	
109	Tho chủ nghĩa Mác – Lênin, cũng như trong Cương lĩnh xây dựng đất nước trong thời kỳ quá độ (bổ sung và phát triển năm 2011), đây được xm là trung tâm của chiến lược phát triển, vị trí cao nhất của sự phát triển, đồng thời là chủ thể phát triển	
A	Xã hội	
B	Khoa học công nghệ	
C	Con người	1
D	Giáo dục đào tạo	
		
		
110	Ở Việt Nam, kinh tế thị trường định hướng xã hội chủ nghĩa là?	
A	Nền kinh tế quản lý tho kiểu tập trung, quan liêu bao cấp 	
B	Nền kinh tế hiện vật 	
C	Nền kinh tế vừa hoạt động tho những quy luật của nền kinh tế thị trường, vừa được dẫn dắt bởi các nguyên tắc của CNXH	1
D	Về thực chất là nền kinh tế thị trường tư bản chủ nghĩa	
		
		
111	Kinh tế tri thức là gì?  	
A	Nền kinh tế dựa vào trí tuệ của con người 	
B	Nền kinh tế dựa vào tiềm năng của con người 	
C	Nền kinh tế trong đó sự sản sinh, phổ cập và sử dụng tri thức giữ vai trò quyết định nhất đối với sự phát triển kinh tế, tạo ra của cải, nâng cao chất lượng cuộc sống.	1
D	Nền kinh tế dựa vào nguồn lực con người và công nghệ cao 	
		
		
112	Công nghiệp hóa, hiện đại hóa là nhiệm vụ trung tâm trong suốt thời kỳ quá độ lên chủ nghĩa xã hội ở Việt Nam vì:	
A	Nước ta đi lên chủ nghĩa xã hội từ một nước chưa có công nghiệp	
B	Công nghiệp hóa, hiện đại hóa tạo ra cơ sở vật chất kỹ thuật hiện đại cho chủ nghĩa xã hội	1
C	Tầm quan trọng của công nghiệp hóa, hiện đại hóa đối với chủ nghĩa xã hội	
D	Thời kỳ quá độ là thời kỳ xây dựng cơ sở vật chất kỹ thuật cho chủ nghĩa xã hội	
		
		
113	Tiến hành công nghiệp hóa - Hiện đại hóa là:	
A	Để phát triển công nghiệp và thành thị		
B	Để có được cơ sở vật chất- kỹ thuật của chủ nghĩa xã hội	1
C	Do nhu cầu về nguyên liệu và thị trường		
D	Chuyển dịch cơ cấu kinh tế nông thôn	
		
		
114	Trong các nhân tố tăng trưởng kinh tế, Đảng ta xác định nhân tố nào là cơ bản của tăng trưởng nhanh và bền vững?	
A	Vốn 				
B	Con người				1
C	Khoa học và công nghệ	
D	Cơ cấu kinh tế, thể chế kinh tế và vai trò nhà nước	
		
		
115	Toàn bộ những giá trị vật chất và tinh thần do con người tạo ra bằng lao động và hoạt động thực tiễn trong quá trình lịch sử của mình gọi là gì?	
A	Vật chất                   	
B	Ý thức                       	
C	Văn hoá	1
D	Văn học	
		
		
116	Ngôn ngữ, tư tưởng, giá trị ... thuộc khía cạnh văn hoá nào?	
A	Văn hoá vật chất   	
B	Văn hoá phi vật chất    	1
C	Văn hoá hỗn hợp	
D	Văn hóa vật chất lẫn tinh thần	
		
		
117	Tìm một di sản văn hoá không cùng loại hình với các di sản văn hoá còn lại	
A	Phong Nha - Kẻ Bàng               	1
B	Quan họ Bắc Ninh	
C	Nhã Nhạc cung đình Huế	
D	Không gian văn hoá cồng chiêng Tây Nguyên	
		
		
118	Chiến lược phát triển kinh tế - xã hội (2011 – 2020), được Đại hội đại biểu toàn quốc lần thứ  XI thông qua mấy quan điểm	
A	Hai quan điểm	
B	Ba quan điểm	
C	Bốn quan điểm	
D	Năm quan điểm	1
		
		
119	Cương lĩnh xây dựng đất nước trong thời kỳ quá độ lên CNXH (Bổ sung và phát triển năm 2011) xác định bao nhiêu phương hướng lớn trong phát triển kinh tế - xã hội.	
A	Hai quan điểm	
B	Ba quan điểm	
C	Bốn quan điểm	1
D	Năm quan điểm	
		
		
120	Đảng ta đã chủ trương phát triển kinh tế xã hội ở những nội dung cơ bản nào? 	
A	Đổi mới mô hình tâng trưởng, cơ cấu lại nền kinh tế, đẩy mạnh công nghiệp hóa, hiện đại hóa đất nước.	
B	Hoàn thiện thể chế, phát triển kinh tế thị trường định hướng XHCN	
C	Quản lý, phát triển xã hội, thực hiện công bằng xã hội	
D	Đổi mới mô hình tâng trưởng, cơ cấu lại nền kinh tế, đẩy mạnh công nghiệp hóa, hiện đại hóa đất nước.  Hoàn thiện thể chế, phát triển kinh tế thị trường định hướng XHCN. Quản lý, phát triển xã hội, thực hiện công bằng xã hội.	1
		
		
121	Đảng ta đã chủ trương phát triển văn hóa, con người Việt Nam ở những nội dung cơ bản nào?	
A	Xây dựng môi trường văn hóa lành mạnh. Xây dựng con người Việt Nam phát triển toàn diện	
B	Xây dựng văn hóa trong chính trị và kinh tế. Nâng cao chất lượng hiệu quả hoạt động văn hóa	
C	Phát triển công nghiệp văn hóa đi đôi với xây dựng và hoàn thiện thị trường văn hóa. Chủ động hội nhập quốc tế về văn hóa tiếp thu tinh hoa văn hóa của nhân loại.	
D	Tất cả các nội dung trên	1
		
		
VI	Nội dung 6: Tăng cường quốc phòng an ninh, mở rộng quan hệ đối ngoại và hội nhập quốc tế ở Việt Nam	
122	Quân đội nhân dân Việt Nam thành lập vào ngày tháng, năm nào?	
A	Ngày 20 tháng 12 năm 1944	
B	Ngày 21 tháng 12 năm 1944	
C	Ngày 22 tháng 12 năm 1944	1
D	Ngày 23 tháng 12 năm 1944	
		
		
123	Pháp luật quy định củng cố quốc phòng, bảo vệ an ninh quốc gia là nhiệm vụ của của ai?	
A	Công an nhân dân	
B	Toàn dân.	1
C	Quân đội nhân dân.	
D	Công dân.	
		
		
124	Một trong những nhiệm vụ của quốc phòng và an ninh là gì?	
A	Phát huy sức mạnh của nhân dân	
B	Phát huy sức mạnh của Nhà nước	
C	Phát huy sức mạnh của khối đại đoàn kết toàn dân tộc	1
D	Phát huy sức mạnh của Đảng	
		
		
125	Quan điểm sức mạnh dân tộc trong chính sách quốc phòng và an ninh được hiểu là gì?	
A	Truyền thống đánh giặc của ông cha ta.	
B	Quân đội chính quy hiện đại.	
C	Nền kinh tế hiện đại	
D	Những truyền thống tốt đẹp, sức mạnh của văn hóa tinh thần và sức mạnh vật chất của dân tộc.	1
		
		
126	Cương lĩnh xây dựng đất nước trong thời kỳ quá độ lên CNXH (bổ sung và phát triển năm 2011) đã nêu những quan điểm như thế nào về tăng cường quốc phòng, an ninh?	
A	Giữ vững và tăng cường sự lãnh đạo của Đảng, hiệu lực quản lý của Nhà nước đối với sự nghiệp bảo vệ  Tổ quốc. Kiên định mục tiêu độc lập dân tộc gắn liền với  CNXH	
B	Phát huy cao nhất sức mạnh tổng hợp của đất nước, nhất là vai trò của nhân dân đối với sự nghiệp bảo vệ Tổ quốc.Giữ vững môi trường hòa bình, ổn định để phát triển kinh tế xã hội và lợi ích cao nhất của đất nước.	
C	Kết hợp sức mạnh dân tộc với sức mạnh của thời đại, tranh thủ sự ủng hộ của bạn bè quốc tế. Xây dựng lực lượng vũ trang thực sự là lực lượng chính trị, lực lượng chiến đấu trung thành, tin cậy của Đảng, Nhà nước và nhân dân, làm nòng cốt cho toàn dân trong sự nghiệp bảo vệ  Tổ quốc	
D	Tất cả đều đúng	1
		
		
127	Việt Nam là thành viên thứ bao nhiêu của Tổ chức Thương mại thế giới (WTO)?	
A	140	
B	150	1
C	160	
D	170	
		
		
128	Văn kiện Đại hội toàn quốc lần thứ XII của Đảng xác định phương hướng nhiệm vụ chủ yếu của đường lối đối ngoại như thế nào?	
A	Là bạn, là đối tác tin cậy và thành viên có trách nhiệm của cộng đồng quốc tế	
B	Chú trọng phát triển quan hệ hợp tác, hữu nghị, truyền thống với các nước láng giềng thúc đẩy quan hệ hợp tác với các đối tác lớn, đối tác quan trọng	
C	Chủ động và tích cực hội nhập kinh tế quốc tế. 	
D	Tất cả đều đúng	1
		
		
VII	Nội dung 7: Xây dựng và hoàn thiện nhà nước pháp quyền xã hội chủ nghĩa Việt Nam	
129	Nhà nước pháp quyền XHCN Việt Nam có mấy đặc trưng cơ bản:	
A	Bốn đặc trưng	
B	Năm đặc trưng	1
C	Sáu đặc trưng	
D	Bảy đặc trưng	
		
		
130	Đặc trưng đầu tiên của nhà nước pháp quyền XHCN Việt Nam là gì? 	
A	Nhà nước của dân, do dân và vì dân; tất cả quyền lực nhà nước thuộc về nhân dân.	1
B	Quyền lực nhà nước là thống nhất, có sự phân công rành mạch và phối hợp chặt chẽ giữa các cơ quan nhà nước trong việc thực hiện các quyền lập pháp, hành pháp và tư pháp.	
C	Nhà nước được tổ chức và hoạt động trên cơ sở Hiến pháp, pháp luật và bảo đảm cho Hiến pháp và các đạp luật giữ vị trí tối thượng trong điều chỉnh các quan hệ thuộc tất cả các lĩnh vực của đời sống xã hội	
D	Nhà nước tôn trọng và bảo đảm quyền con người, quyền công dân; nâng cao trách nhiệm pháp lý giữa Nhà nước và công dân; thực hành dân chủ, đồng thời tăng cường kỷ cương, kỷ luật	
		
		
131	Hãy cho biết cơ quan hành chính nhà nước cao nhất của nước Cộng hòa xã hội chủ nghĩa Việt Nam?	
A	Quốc hội	
B	Đảng cộng sản Việt Nam  	
C	Chính phủ	1
D	Hội đồng nhân dân	
		
		
132	Tòa án, Viện kiểm sát được gọi là cơ quan gì?	
A	Cơ quan hành pháp  	
B	Cơ quan tư pháp       	1
C	Cơ quan lập pháp	
D	Tất cả đều sai	
		
		
133	Điền từ còn thiếu vào chỗ trống: “Nhà nước được tổ chức và hoạt động trên cơ sở ...., pháp luật và bảo đảm cho Hiến pháp và các đạo luật giữ vị trí tối thượng trong điều chỉnh các quan hệ thuộc tất cả các lĩnh vực của đời sống xã hội”.	
A	Hiến pháp	1
B	Pháp luật	
C	Nghị định	
D	Nghị quyết	
		
		
134	Chức năng tổ chức xây dựng của nhà nước pháp quyền XHCN Việt Nam bao gồm:	
A	Tổ chức xây dựng và quản lý nền kinh tế XHCN.  Tổ chức xây dựng và quản lý văn hoá, giáo dục, khoa học.Tổ chức xây dựng và bảo đảm thực hiện các chính sách xã hội	1
B	Tổ chức xây dựng và quản lý văn hoá, giáo dục, khoa học	
C	Tổ chức xây dựng và bảo đảm thực hiện các chính sách xã hội	
D	Tổ chức xây dựng và quản lý nền kinh tế XHCN.  	
		
		
135	Việc thực hiện quyền lực trong nhà nước Cộng hoà Xã hội chủ nghĩa Việt Nam có sự:	
A	Phân chia quyền lực	
B	Ba quyền hành pháp, lập pháp, tư pháp giao cho các cơ quan Chính phủ, Toà án	
C	Quyền lực nhà nước là thống nhất, có sự phân công rành mạch và phối hợp chặt chẽ giữa các cơ quan nhà nước trong việc thực hiện các quyền lập pháp, hành pháp và tư pháp.	1
D	Không có sự phân chia quyền lực	
		
		
136	Lực lượng chủ lực để bảo vệ Tổ quốc Việt Nam hiện nay là những lực lượng nào?	
A	Gồm các lực lượng của toàn dân		1
B	Gồm các lực lượng vũ trang nhân dân	
C	Gồm ba thứ quân: bộ đội chủ lực, bộ đội địa phương và dân quân tự vệ	
D	Gồm các lực lượng dự bị động viên	
		
		
VIII	Nội dung 8: Phát huy sức mạnh của khối đại đoàn kết toàn dân tộc trong xây dựng, bảo vệ Tổ quốc	
137	Dựa trên những cơ sở lý luận nào để xây dựng đường lối, chính sách đại đoàn kết toàn dân tộc trong việc xây dựng và bảo vệ Tổ quốc.	
A	Chủ nghĩa  Mác – Lênin	
B	Tư tưởng Hồ Chí Minh	
C	Chủ nghĩa Mác – Lênin và tư tưởng Hồ Chí Minh	
D	Chủ nghĩa Mác – Lênin  về vai trò của quần chúng trong lịch sử và tư tưởng Hồ Chí Minh về đại đoàn kết dân tộc.	1
		
		
138	Dựa trên những cơ sở thực tiễn nào để xây dựng đường lối, chính sách đại đoàn kết toàn dân tộc trong việc xây dựng và bảo vệ Tổ quốc.	
A	Đoàn kết là truyền thống quý báu và bài học lịch sử vô giá của dân tộc Việt Nam trong suốt quá trình dựng nước và giữ nước.	
B	Nước ta có nhiều thành phần dân tộc	
C	Bối cảnh đất nước còn nhiều khó khăn	
D	Đoàn kết là truyền thống quý báu và bài học lịch sử vô giá của dân tộc Việt Nam trong suốt quá trình dựng nước và giữ nước.  Nước ta có nhiều thành phần dân tộc.  Bối cảnh đất nước còn nhiều khó khăn chưa phát huy được vai trò sức mạnh của đoàn kết toàn dân tộc và sức mạnh của nhân dân.	1
		
		
139	Văn kiện Đại hội lần thứ XII của Đảng (1-2016) đã chỉ ra phương hướng để phát huy sức mạnh đại đoàn kết toàn dân tộc trong xây dựng và bảo vệ Tổ quốc đó là những nội dung nào?	
A	Là đường lối của cách mạng Việt Nam	
B	Là liên minh giai cấp	
C	Đại đoàn kết là động lực và nguồn lực to lớn trong xây dựng và bảo vệ Tổ quốc, trên nền tảng liên minh giai cấp nhằm phát huy mạnh mẽ mọi nguồn lực, mọi tiềm năng sáng tạo của nhân dân. Giải quyết hòa bình giữa các thành viên trong xã hội.	1
D	Là đoàn kết dân tộc	
		
		
140	Chọn đáp án đúng nhất cho câu hỏi: Tư tưởng Hồ Chí Minh là động lực chủ yếu của sự phát triển nước ta hiện nay là?	
A	Phát huy sức mạnh đại đoàn kết dân tộc	1
B	Đẩy mạnh quá trình hội nhập quốc tế	
C	Ra sức tranh thủ nguồn vốn đầu tư của nước ngoài	
D	Nâng cao năng lực cạnh tranh của nền kinh tế	
		
		
141	Chọn đáp án trả lời đúng nhất tho tư tưởng Hồ Chí Minh:	
A	Đại đoàn kết vừa là mục tiêu, vừa là nhiệm vụ hàng đầu của Đảng	
B	Đại đoàn kết vừa là mục tiêu, vừa là nhiệm vụ hàng đầu của dân tộc	
C	Đại đoàn kết vừa là mục tiêu, vừa là nhiệm vụ hàng đầu của Đảng và dân tộc	1
D	Đại đoàn kết vừa là mục tiêu, vừa là chiến lược hàng đầu của  Đảng và dân tộc	
		
		
142	Trong tác phẩm “Về quyền dân tộc tự quyết”, Lênin nêu ra Cương lĩnh dân tộc bao gồm những nội dung quan trọng nào?	
A	Bình đẳng	
B	Tự quyết	
C	Đoàn kết	
D	Thực hiện bình đẳng dân tộc, các dân tộc được quyền tự quyết và đoàn kết tất cả các dân tộc.	1
		
		
143	Người công dân tốt được hiểu như thế nào?	
A	Quyền và nghĩa vụ công dân không tách rời nghĩa vụ công dân	
B	Có quyền được sống, bất khả xâm phạm	
C	Có quyền có nơi ở hợp pháp	
D	Có quyền được sống, bất khả xâm phạm về thân thể, Có quyền có nơi ở hợp pháp, có quyền tham gia quản lý Nhà nước và xã hội. Lao động là quyền và nghĩa vụ của công dân	1
		
		
IX	Nội dung 9: Tu dưỡng, rèn luyện để trở thành người công dân tốt, người lao động tốt	
144	Người lao động tốt là người như thế nào hãy chọn đáp án đúng nhất?	
A	Là người công dân tốt	
B	Là người lao động tốt	
C	Có phẩm chất chính trị vững vàng	
D	Là người công dân tốt có khả năng lao động tốt được thể hiện trong sự rèn luyện, phấn đấu đối với chính mình, với công việc và với mọi người.	1
		
		
145	Người lao động là người	
A	Từ đủ 15 tuổi trở lên	1
B	Từ đủ 16 tuổi trở lên	
C	Từ đủ 17 tuổi trở lên	
D	Từ đủ 18 tuổi trở lên	
		
		
146	Công dân có quyền tự do phát biểu ý kiến, bày tỏ quan điểm về các vấn đề chính trị, kinh tế, văn hóa, xã hội của đất nước là biểu hiện quyền nào của công dân?	
A	Quyền tự do báo chí	
B	Quyền tư do ngôn luận	1
C	Quyền chính trị	
D	Quyền văn hóa – xã hội	
		
		
147	Trong các quyền dưới đây, quyền nào là quyền lao động	
A	Quyền tự do kinh doanh	
B	Quyền sỡ hữu tài sản	
C	Quyền được tuyển dụng lao động	1
D	Quyền bóc lột sức lao động	
		
		
148	Việc công dân viết bài đăng báo, bày tỏ quan điểm của mình phê phán cái xấu, đồng tình với cái tốt là biểu hiện quyền nào dưới đây của công dân?	
A	Quyền tham gia ý kiến	
B	Quyền tự do ngôn luận	1
C	Quyền tự do tư tưởng	
D	Quyền tự do báo chí	
		
		
149	A và B có mâu thuẫn với nhau. Hai bên cãi cọ rồi đánh nhau. Kết quả A đánh B gây thương tích. Hành vi của A đã xâm phạm tới quyền nào dưới đây của công dân?	
A	Quyền bất khả xâm phạm về thân thể	
B	Quyền bất khả xâm phạm về thân nhân	
C	Quyền được pháp luật bảo hộ về sức khỏ	1
D	Quyền được đảm bảo an toàn thân thể	
		
		
150	Người lao động có nghĩa vụ	
A	Chấp hành kỷ luật lao động, nội quy lao động	1
B	Tuân tho mọi sự phân công, điều động của cấp trên	
C	Không được nghỉ chế độ khi cơ sở lao động đang nhiều việc	
D	Làm việc trong điều kiện không đảm bảo an toàn do đặc thù công việc.	
		
		
151	Hành vi nào dưới đây vi phạm nguyên tắc sử dụng lao động là người chưa thành niên?	
A	Sử dụng lao động chưa thành niên làm những công việc nặng nhọc, độc hại, nguy hiểm.	1
B	Thời gian làm việc của người lao động chưa thành niên không được quá 08 giờ/1 ngày và 40 giờ/01 tuần.	
C	Không sử dụng người chưa thành niên sản xuất, kinh doanh cồn, rượu bia, thuốc lá.	
D	Tạo cơ hội để người lao động chưa thành iên và người dưới 15 tuổi tham gia lao động được học văn hóa.	
		
		
152	Hành vi nào dưới đây không đúng khi nói về nghĩa vụ lao động của công dân	
A	Tự ý nghỉ việc mà không báo trước	1
B	Yêu cầu được ký hợp đồng lao động	
C	Thường xuyên đi làm muộn do nhà xa	
D	Nâng cao trình độ chuyên môn nghề nghiệp	
		
		



